"~start_node_id","~start_node_labels","~start_node_property_name","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_name"
"371","Author","Liao, Xueting","WROTE_A_PAPER_WITH","372","Author","Peng, Chengzong"
"373","Author","Ding, Jian","WROTE_A_PAPER_WITH","374","Author","Su, Jingrui"
"375","Author","Mois, George Dan","WROTE_A_PAPER_WITH","376","Author","Zeadally, Sherali"
"377","Author","Pustokhin, Denis A.","WROTE_A_PAPER_WITH","378","Author","Uthayan, K.R."
"379","Author","Shen, Yajing","WROTE_A_PAPER_WITH","380","Author","Zhang, Haotian"
"381","Author","Shreyas, J.","WROTE_A_PAPER_WITH","382","Author","Srinidhi, N.N."
"383","Author","Li, Juan","WROTE_A_PAPER_WITH","384","Author","Zhou, Xingyu"
"385","Author","Luo, Xiangyang","WROTE_A_PAPER_WITH","386","Author","Wang, Xianmin"
"387","Author","Appasani, Bhargav","WROTE_A_PAPER_WITH","388","Author","Bizon, Nicu"
"389","Author","Huang, Junjie","WROTE_A_PAPER_WITH","390","Author","Jiao, Wenli"
"391","Author","Gao, Mingliang","WROTE_A_PAPER_WITH","392","Author","Kim, Kyu Hyung"
"393","Author","Marculescu, Radu","WROTE_A_PAPER_WITH","394","Author","Sa Silva, Jorge"
"395","Author","Que, Wenhui","WROTE_A_PAPER_WITH","396","Author","Zhang, Wenbo"
"397","Author","Aravind, Palavarapu","WROTE_A_PAPER_WITH","398","Author","Sudhakaran, Pradeep"
"399","Author","Patil, Dipti Durgesh","WROTE_A_PAPER_WITH","400","Author","Patil, Lalit V."
"401","Author","Jayabalan, Muruganandam","WROTE_A_PAPER_WITH","402","Author","Singh, Deepak Singh Mahendar"
"403","Author","Hitimana, Eric","WROTE_A_PAPER_WITH","404","Author","Mukasine, Angelique"
"405","Author","Ding, Xufei","WROTE_A_PAPER_WITH","21","Author","Han, Zhu"
"406","Author","Cao, Xiaoming","WROTE_A_PAPER_WITH","407","Author","Lin, Wenmin"
"408","Author","Joshi, Amit M.","WROTE_A_PAPER_WITH","409","Author","Mohanty, Saraju P."
"410","Author","He, Debiao","WROTE_A_PAPER_WITH","411","Author","Zhou, Xiaotong"
"412","Author","Alam, Maksud","WROTE_A_PAPER_WITH","413","Author","Singh, Himanshu"
"414","Author","Huang, Tiansheng","WROTE_A_PAPER_WITH","415","Author","Li, Rui"
"416","Author","Chithaluru, Premkumar","WROTE_A_PAPER_WITH","417","Author","Kumar, Sunil"
"418","Author","Lyakhov, Andrey","WROTE_A_PAPER_WITH","419","Author","Yusupov, Ruslan"
"420","Author","Li, Yinhao","WROTE_A_PAPER_WITH","421","Author","Puthal, Deepak"
"422","Author","Gu, Xuemai","WROTE_A_PAPER_WITH","423","Author","Jia, Min"
"424","Author","Liu, Xin-Lei","WROTE_A_PAPER_WITH","425","Author","Wang, Hong-Liang"
"426","Author","Zhang, Jing","WROTE_A_PAPER_WITH","427","Author","Zou, Hongfu"
"428","Author","Chen, Jiahui","WROTE_A_PAPER_WITH","429","Author","Ianni, Michele"
"430","Author","Chen, Zhigang","WROTE_A_PAPER_WITH","431","Author","Guo, Lin"
"432","Author","Guo, Xiuzhen","WROTE_A_PAPER_WITH","433","Author","He, Yuan"
"434","Author","Wang, Cong","WROTE_A_PAPER_WITH","435","Author","Won, Dongho"
"436","Author","Hoang, Tiep M.","WROTE_A_PAPER_WITH","437","Author","Xu, Chao"
"438","Author","Hassidim, Avinatan","WROTE_A_PAPER_WITH","439","Author","Ziv, Alon"
"440","Author","Abdufattokhov, Shokhjakhon","WROTE_A_PAPER_WITH","441","Author","Baker El-Ebiary, Yousef A."
"442","Author","Saracco, Roberto","WROTE_A_PAPER_WITH","443","Author","Talebpour, Alireza"
"444","Author","Khan, Irshad","WROTE_A_PAPER_WITH","445","Author","Kim, Seonhyeong"
"446","Author","Krismadinata, Krismadinata","WROTE_A_PAPER_WITH","447","Author","Yuhendri, Muldi"
"448","Author","Kumar, R. Lakshmana","WROTE_A_PAPER_WITH","449","Author","Meenakshisundaram, Iyapparaja"
"450","Author","Bagavathiannan, Muthukumar","WROTE_A_PAPER_WITH","451","Author","Braga-Neto, Ulisses"
