"~id","~start_node_id","~end_node_id","~relationship_type"
"434","853","854","WROTE_A_PAPER_WITH"
"435","855","856","WROTE_A_PAPER_WITH"
"436","857","858","WROTE_A_PAPER_WITH"
"437","859","860","WROTE_A_PAPER_WITH"
"438","861","862","WROTE_A_PAPER_WITH"
"439","863","864","WROTE_A_PAPER_WITH"
"440","576","865","WROTE_A_PAPER_WITH"
"441","866","867","WROTE_A_PAPER_WITH"
"442","868","869","WROTE_A_PAPER_WITH"
"443","870","871","WROTE_A_PAPER_WITH"
"444","577","872","WROTE_A_PAPER_WITH"
"445","873","874","WROTE_A_PAPER_WITH"
"446","875","876","WROTE_A_PAPER_WITH"
"447","877","878","WROTE_A_PAPER_WITH"
"448","879","880","WROTE_A_PAPER_WITH"
"449","881","882","WROTE_A_PAPER_WITH"
"453","889","317","WROTE_A_PAPER_WITH"
"469","21","920","WROTE_A_PAPER_WITH"
"475","931","305","WROTE_A_PAPER_WITH"
"476","124","932","WROTE_A_PAPER_WITH"
"489","957","523","WROTE_A_PAPER_WITH"
"502","211","982","WROTE_A_PAPER_WITH"
"505","987","707","WROTE_A_PAPER_WITH"
"521","1017","126","WROTE_A_PAPER_WITH"
"530","553","1034","WROTE_A_PAPER_WITH"
"531","1035","815","WROTE_A_PAPER_WITH"
"539","1050","52","WROTE_A_PAPER_WITH"
"546","1063","522","WROTE_A_PAPER_WITH"
"559","1088","193","WROTE_A_PAPER_WITH"
"560","566","1089","WROTE_A_PAPER_WITH"
"577","165","1120","WROTE_A_PAPER_WITH"
"594","1153","376","WROTE_A_PAPER_WITH"
"599","25","1162","WROTE_A_PAPER_WITH"
"601","1165","95","WROTE_A_PAPER_WITH"
"605","1172","494","WROTE_A_PAPER_WITH"
"619","242","1199","WROTE_A_PAPER_WITH"
"621","82","1202","WROTE_A_PAPER_WITH"
"623","1205","354","WROTE_A_PAPER_WITH"
"636","1229","275","WROTE_A_PAPER_WITH"
"640","1236","253","WROTE_A_PAPER_WITH"
"679","804","1311","WROTE_A_PAPER_WITH"
"690","430","1332","WROTE_A_PAPER_WITH"
"691","1333","576","WROTE_A_PAPER_WITH"
"693","415","1336","WROTE_A_PAPER_WITH"
"696","106","1341","WROTE_A_PAPER_WITH"
"700","1348","253","WROTE_A_PAPER_WITH"
"706","470","1358","WROTE_A_PAPER_WITH"
"707","568","1359","WROTE_A_PAPER_WITH"
"708","602","1360","WROTE_A_PAPER_WITH"
"712","876","1367","WROTE_A_PAPER_WITH"
"713","849","1368","WROTE_A_PAPER_WITH"
"723","410","1385","WROTE_A_PAPER_WITH"
"744","1425","828","WROTE_A_PAPER_WITH"
"746","353","1428","WROTE_A_PAPER_WITH"
"751","1436","622","WROTE_A_PAPER_WITH"
"762","658","1457","WROTE_A_PAPER_WITH"
"765","1462","313","WROTE_A_PAPER_WITH"
"769","1469","14","WROTE_A_PAPER_WITH"
"773","1476","870","WROTE_A_PAPER_WITH"
"775","627","1479","WROTE_A_PAPER_WITH"
"780","787","1487","WROTE_A_PAPER_WITH"
"785","1496","727","WROTE_A_PAPER_WITH"
"786","1497","409","WROTE_A_PAPER_WITH"
"787","816","1498","WROTE_A_PAPER_WITH"
"809","1540","60","WROTE_A_PAPER_WITH"
"823","146","1567","WROTE_A_PAPER_WITH"
"828","570","1576","WROTE_A_PAPER_WITH"
"840","89","1597","WROTE_A_PAPER_WITH"
"851","1617","46","WROTE_A_PAPER_WITH"
"862","1638","409","WROTE_A_PAPER_WITH"
"894","1695","871","WROTE_A_PAPER_WITH"
"907","806","1718","WROTE_A_PAPER_WITH"
"917","782","157","WROTE_A_PAPER_WITH"
"920","359","1741","WROTE_A_PAPER_WITH"
"925","179","1749","WROTE_A_PAPER_WITH"
"926","47","1750","WROTE_A_PAPER_WITH"
"951","1799","140","WROTE_A_PAPER_WITH"
"955","1806","693","WROTE_A_PAPER_WITH"
"970","1834","193","WROTE_A_PAPER_WITH"
"1014","22","1918","WROTE_A_PAPER_WITH"
"1036","463","1958","WROTE_A_PAPER_WITH"
"1046","622","1975","WROTE_A_PAPER_WITH"
"1056","1992","623","WROTE_A_PAPER_WITH"
"1065","2009","632","WROTE_A_PAPER_WITH"
"1077","2032","461","WROTE_A_PAPER_WITH"
"1078","875","2033","WROTE_A_PAPER_WITH"
"1084","107","2043","WROTE_A_PAPER_WITH"
"1085","2044","50","WROTE_A_PAPER_WITH"
"1098","2067","727","WROTE_A_PAPER_WITH"
"1105","2080","577","WROTE_A_PAPER_WITH"
"1122","638","2111","WROTE_A_PAPER_WITH"
"1131","59","2127","WROTE_A_PAPER_WITH"
"1137","2137","297","WROTE_A_PAPER_WITH"
"1139","2140","203","WROTE_A_PAPER_WITH"
"1146","508","509","WROTE_A_PAPER_WITH"
"1153","2164","593","WROTE_A_PAPER_WITH"
"1158","2172","317","WROTE_A_PAPER_WITH"
"1168","2189","297","WROTE_A_PAPER_WITH"
"1169","542","2190","WROTE_A_PAPER_WITH"
"1173","289","2197","WROTE_A_PAPER_WITH"
"1175","289","2200","WROTE_A_PAPER_WITH"
"1181","622","2209","WROTE_A_PAPER_WITH"
"1207","2255","282","WROTE_A_PAPER_WITH"
"1215","2270","859","WROTE_A_PAPER_WITH"
"1218","2275","718","WROTE_A_PAPER_WITH"
"1257","483","2347","WROTE_A_PAPER_WITH"
"1273","628","2374","WROTE_A_PAPER_WITH"
"1275","2377","36","WROTE_A_PAPER_WITH"
"1309","2441","165","WROTE_A_PAPER_WITH"
"1317","508","2456","WROTE_A_PAPER_WITH"
"1323","119","2466","WROTE_A_PAPER_WITH"
"1325","2469","787","WROTE_A_PAPER_WITH"
"1329","2476","127","WROTE_A_PAPER_WITH"
"1333","627","337","WROTE_A_PAPER_WITH"
"1347","321","2508","WROTE_A_PAPER_WITH"
"1362","635","2536","WROTE_A_PAPER_WITH"
"1368","2546","331","WROTE_A_PAPER_WITH"
"1370","2549","245","WROTE_A_PAPER_WITH"
"1371","383","22","WROTE_A_PAPER_WITH"
"1373","2551","60","WROTE_A_PAPER_WITH"
"1382","827","1856","WROTE_A_PAPER_WITH"
"1387","2576","538","WROTE_A_PAPER_WITH"
"1394","21","2587","WROTE_A_PAPER_WITH"
"1395","126","2588","WROTE_A_PAPER_WITH"
"1422","2635","407","WROTE_A_PAPER_WITH"
"1424","534","2638","WROTE_A_PAPER_WITH"
"1432","242","2651","WROTE_A_PAPER_WITH"
"1439","21","2662","WROTE_A_PAPER_WITH"
"1455","2691","626","WROTE_A_PAPER_WITH"
"1463","2702","864","WROTE_A_PAPER_WITH"
"1468","288","2711","WROTE_A_PAPER_WITH"
"1471","638","1991","WROTE_A_PAPER_WITH"
"1492","140","1918","WROTE_A_PAPER_WITH"
"1497","2762","475","WROTE_A_PAPER_WITH"
"1503","2773","50","WROTE_A_PAPER_WITH"
"1511","2784","561","WROTE_A_PAPER_WITH"
